concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
4051255	Family history with explicit context pertaining to mother	Observation	SNOMED	Context-dependent	S	160427003	2002-01-31	2099-12-31	
4051256	Family history with explicit context pertaining to father	Observation	SNOMED	Context-dependent	S	160433007	2002-01-31	2099-12-31	
4051258	Family history with explicit context pertaining to sister	Observation	SNOMED	Context-dependent	S	160439006	2002-01-31	2099-12-31	
4051262	FH: Brother	Observation	SNOMED	Context-dependent	S	160444004	2002-01-31	2099-12-31	
4051265	Family history with explicit context pertaining to uncle	Observation	SNOMED	Context-dependent	S	160465005	2002-01-31	2099-12-31	
4052795	Family history with explicit context pertaining to son	Observation	SNOMED	Context-dependent	S	160449009	2002-01-31	2099-12-31	
4052800	Family history with explicit context pertaining to maternal grandfather	Observation	SNOMED	Context-dependent	S	160460000	2002-01-31	2099-12-31	
4052801	Family history with explicit context pertaining to paternal grandfather	Observation	SNOMED	Context-dependent	S	160461001	2002-01-31	2099-12-31	
4052960	Mobile in home	Observation	SNOMED	Clinical Finding	S	160682003	2002-01-31	2099-12-31	
4052962	Housebound	Observation	SNOMED	Clinical Finding	S	160689007	2002-01-31	2099-12-31	
4053607	First degree blood relative	Relationship	SNOMED	Social Context	S	125678001	2002-01-31	2099-12-31	
4054433	Family history with explicit context pertaining to daughter	Observation	SNOMED	Context-dependent	S	160454000	2002-01-31	2099-12-31	
4064377	Depression screening	Measurement	SNOMED	Procedure	S	171207006	2002-01-31	2099-12-31	
4065608	Division of brain tissue	Procedure	SNOMED	Procedure	S	21551002	2002-01-31	2099-12-31	
4066291	Portal triaditis	Condition	SNOMED	Disorder	S	17349007	2002-01-31	2099-12-31	
4070456	Specimen collection	Procedure	SNOMED	Procedure	S	17636008	2002-01-31	2099-12-31	
4071771	Shave biopsy of skin	Procedure	SNOMED	Procedure	S	177346002	2002-01-31	2099-12-31	
4074035	Current drinker	Observation	SNOMED	Clinical Finding	S	219006	2002-01-31	2099-12-31	
4077974	Isolated visuospatial skills	Observation	SNOMED	Clinical Finding	S	276292009	2002-01-31	2099-12-31	
4078510	Interpretation of results of psychiatric examinations and data	Procedure	SNOMED	Procedure	S	24621000	2002-01-31	2099-12-31	
4080761	Right	Meas Value	SNOMED	Qualifier Value	S	24028007	2002-01-31	2099-12-31	
4081731	Biopsy of skin	Procedure	SNOMED	Procedure	S	240977001	2002-01-31	2099-12-31	
4085060	Fear of eating in public	Condition	SNOMED	Clinical Finding	S	247834003	2002-01-31	2099-12-31	
4085401	Incision biopsy of skin	Procedure	SNOMED	Procedure	S	282014007	2002-01-31	2099-12-31	
4086396	Periods of life	Meas Value	SNOMED	Qualifier Value	S	282032007	2002-01-31	2099-12-31	
4086692	Imaging interpretation	Measurement	SNOMED	Observable Entity	S	282290005	2002-01-31	2099-12-31	
4087703	Severe	Observation	SNOMED	Qualifier Value	S	24484000	2002-01-31	2099-12-31	
4088611	Subscale score	Observation	SNOMED	Qualifier Value	S	280434008	2002-01-31	2099-12-31	
4090183	Tanner boys genital development stage	Observation	SNOMED	Observable Entity	S	251805007	2002-01-31	2099-12-31	
4090444	Summated scale score	Observation	SNOMED	Qualifier Value	S	280433002	2002-01-31	2099-12-31	
4092272	Detailed recall of dream	Observation	SNOMED	Clinical Finding	S	247953009	2002-01-31	2099-12-31	
4092843	Clinical laboratory specimen identification	Procedure	SNOMED	Procedure	S	18699002	2002-01-31	2099-12-31	
4093835	Mental alertness	Observation	SNOMED	Observable Entity	S	248233002	2002-01-31	2099-12-31	
4093857	Distribution of body fat	Observation	SNOMED	Observable Entity	S	248303006	2002-01-31	2099-12-31	
4093975	Standing height	Measurement	SNOMED	Observable Entity	S	248333004	2002-01-31	2099-12-31	
4096245	Resting tremor	Condition	SNOMED	Clinical Finding	S	25082004	2002-01-31	2099-12-31	
4099909	Naming	Observation	SNOMED	Observable Entity	S	27468005	2002-01-31	2099-12-31	
4100611	Finding of praxis	Condition	SNOMED	Clinical Finding	S	299734002	2002-01-31	2099-12-31	
4101848	Repetition of words	Condition	SNOMED	Clinical Finding	S	28051002	2002-01-31	2099-12-31	
4104285	Brain tissue	Observation	SNOMED	Substance	S	256865009	2002-01-31	2099-12-31	
4105828	Red blood cell fluid specimen	Specimen	SNOMED	Specimen	S	256912003	2002-01-31	2099-12-31	
4109860	Difficulty performing bathing activity	Observation	SNOMED	Clinical Finding	S	284802004	2002-01-31	2099-12-31	
4110916	Selective abstraction	Observation	SNOMED	Clinical Finding	S	285246007	2002-01-31	2099-12-31	
4110925	Difficulty dressing	Observation	SNOMED	Clinical Finding	S	284977008	2002-01-31	2099-12-31	
4112230	First	Observation	SNOMED	Qualifier Value	S	255216001	2002-01-31	2099-12-31	
4112996	Behavior ignored	Observation	SNOMED	Clinical Finding	S	284494004	2002-01-31	2099-12-31	
4113167	Difficulty showering self	Observation	SNOMED	Clinical Finding	S	284796001	2002-01-31	2099-12-31	
4113281	Fluctuating	Meas Value	SNOMED	Qualifier Value	S	255341006	2002-01-31	2099-12-31	
4115458	Anterior	Observation	SNOMED	Qualifier Value	S	255549009	2002-01-31	2099-12-31	
4116025	Difficulty participating in leisure activities	Observation	SNOMED	Clinical Finding	S	300742006	2002-01-31	2099-12-31	
4117419	Blood film specimen	Specimen	SNOMED	Specimen	S	303248007	2002-01-31	2099-12-31	
4119425	Non-surgical skin biopsy	Procedure	SNOMED	Procedure	S	287538006	2002-01-31	2099-12-31	
4119529	Skin fibroblast specimen	Specimen	SNOMED	Specimen	S	258569003	2002-01-31	2099-12-31	
4120355	Deoxyribonucleic acid specimen	Specimen	SNOMED	Specimen	S	258566005	2002-01-31	2099-12-31	
4120752	Unable to communicate	Condition	SNOMED	Clinical Finding	S	288576002	2002-01-31	2099-12-31	
4121977	Disease phases	Meas Value	SNOMED	Qualifier Value	S	303105007	2002-01-31	2099-12-31	
4121980	Postmortem period	Meas Value	SNOMED	Qualifier Value	S	303113008	2002-01-31	2099-12-31	
4122278	Amniotic cell specimen	Specimen	SNOMED	Specimen	S	258563002	2002-01-31	2099-12-31	
4122283	Whole blood specimen	Specimen	SNOMED	Specimen	S	258580003	2002-01-31	2099-12-31	
4122286	Buffy coat	Specimen	SNOMED	Specimen	S	258587000	2002-01-31	2099-12-31	
4122287	White blood cell specimen	Specimen	SNOMED	Specimen	S	258591005	2002-01-31	2099-12-31	
4123526	Able to perform copying activities	Observation	SNOMED	Clinical Finding	S	288448007	2002-01-31	2099-12-31	
4124267	Postmortem tissue specimen	Specimen	SNOMED	Specimen	S	258484005	2002-01-31	2099-12-31	
4124288	Clotted blood specimen	Specimen	SNOMED	Specimen	S	258581004	2002-01-31	2099-12-31	
4124289	Blood clot specimen	Specimen	SNOMED	Specimen	S	258582006	2002-01-31	2099-12-31	
4132546	Traumatic brain injury	Condition	SNOMED	Disorder	S	127295002	2002-01-31	2099-12-31	
4132629	Family history taking	Procedure	SNOMED	Procedure	S	410551005	2004-07-31	2099-12-31	
4132778	General clinical state	Observation	SNOMED	Observable Entity	S	278844005	2002-01-31	2099-12-31	
4133058	Deep parotid lymph node	Spec Anatomic Site	SNOMED	Body Structure	S	279142004	2002-01-31	2099-12-31	
4133684	Apolipoprotein E genotype determination	Measurement	SNOMED	Procedure	S	412985006	2004-07-31	2099-12-31	
4134448	Tissue specimen from brain	Specimen	SNOMED	Specimen	S	128157004	2002-01-31	2099-12-31	
4136441	Apolipoprotein E gene	Observation	SNOMED	Substance	S	412642004	2004-07-31	2099-12-31	
4137157	Left sided	Observation	SNOMED	Qualifier Value	S	263795004	2002-01-31	2099-12-31	
4138561	Language fluency	Observation	SNOMED	Observable Entity	S	32650004	2002-01-31	2099-12-31	
4139244	Difficulty holding drinks	Observation	SNOMED	Clinical Finding	S	307071002	2002-01-31	2099-12-31	
4140090	Parkinsonism	Condition	SNOMED	Disorder	S	32798002	2002-01-31	2099-12-31	
4141311	Right sided	Observation	SNOMED	Qualifier Value	S	264180000	2002-01-31	2099-12-31	
4142937	Nucleic acid analysis	Observation	SNOMED	Qualifier Value	S	264896000	2002-01-31	2099-12-31	
4142947	Symptomatic	Meas Value	SNOMED	Qualifier Value	S	264931009	2002-01-31	2099-12-31	
4145259	Patient registration data status	Observation	SNOMED	Clinical Finding	S	307825005	2002-01-31	2099-12-31	
4145402	Surgical biopsy of skin	Procedure	SNOMED	Procedure	S	308000002	2002-01-31	2099-12-31	
4147192	Feeling lonely	Observation	SNOMED	Clinical Finding	S	267076002	2002-01-31	2099-12-31	
4147228	Chin structure	Spec Anatomic Site	SNOMED	Body Structure	S	30291003	2002-01-31	2099-12-31	
4148886	Confidential patient data held	Observation	SNOMED	Clinical Finding	S	270456003	2002-01-31	2099-12-31	
4149989	Speech problem	Condition	SNOMED	Clinical Finding	S	267095009	2002-01-31	2099-12-31	
4150719	Digit span forwards	Observation	SNOMED	Clinical Finding	S	311407009	2002-01-31	2099-12-31	
4150811	Ballooning degeneration	Observation	SNOMED	Morph Abnormality	S	3139003	2002-01-31	2099-12-31	
4151627	Digit span reverse	Observation	SNOMED	Clinical Finding	S	311476004	2002-01-31	2099-12-31	
4152620	Visual memory for faces	Observation	SNOMED	Observable Entity	S	283931007	2002-01-31	2099-12-31	
4153379	Difficulty	Meas Value	SNOMED	Qualifier Value	S	371157007	2002-07-31	2099-12-31	
4153980	Digit span performance	Observation	SNOMED	Observable Entity	S	283884005	2002-01-31	2099-12-31	
4153990	Has delayed recall	Observation	SNOMED	Clinical Finding	S	283902008	2002-01-31	2099-12-31	
4154448	Finding relating to immediate recall	Observation	SNOMED	Clinical Finding	S	283883004	2002-01-31	2099-12-31	
4156190	Age values	Meas Value	SNOMED	Qualifier Value	S	272130008	2002-01-31	2099-12-31	
4156367	Genotype types	Observation	SNOMED	Qualifier Value	S	272403009	2002-01-31	2099-12-31	
4158475	Crying associated with mood	Observation	SNOMED	Clinical Finding	S	271951008	2002-01-31	2099-12-31	
4158754	Serial sevens test	Measurement	SNOMED	Staging / Scales	S	273798003	2002-01-31	2099-12-31	
4160039	Co-morbid conditions	Observation	SNOMED	Clinical Finding	S	398192003	2003-07-31	2099-12-31	
4160510	Postmortem result	Condition	SNOMED	Clinical Finding	S	371758005	2002-07-31	2099-12-31	
4162299	Autopsy examination	Procedure	SNOMED	Procedure	S	29240004	2002-01-31	2099-12-31	
4162526	Nucleic acid assay	Measurement	SNOMED	Procedure	S	398545005	2003-07-31	2099-12-31	
4162723	Cognitive function finding	Observation	SNOMED	Clinical Finding	S	373930000	2002-07-31	2099-12-31	
4163138	Sample identification number	Observation	SNOMED	Observable Entity	S	372274003	2002-07-31	2099-12-31	
4165596	Trail making test	Measurement	SNOMED	Staging / Scales	S	273882000	2002-01-31	2099-12-31	
4165917	Has reason	Relationship	SNOMED	Linkage Assertion	S	416083004	2005-07-31	2099-12-31	
4167194	Has problem member	Relationship	SNOMED	Linkage Assertion	S	416271009	2005-07-31	2099-12-31	
4167217	Family history of clinical finding	Observation	SNOMED	Context-dependent	S	416471007	2005-07-31	2099-12-31	
4169175	Mini-mental state examination	Measurement	SNOMED	Staging / Scales	S	273617000	2002-01-31	2099-12-31	
4169312	Object naming test	Measurement	SNOMED	Staging / Scales	S	273656006	2002-01-31	2099-12-31	
4170593	Dopamine receptor agonist	Observation	SNOMED	Substance	S	418222008	2006-01-31	2099-12-31	
4172703	=	Meas Value Operator	SNOMED	Qualifier Value	S	276136004	2002-01-31	2099-12-31	
4178502	Body weight measure	Measurement	SNOMED	Observable Entity	S	363808001	2002-01-31	2099-12-31	
4181037	Genotype determination	Measurement	SNOMED	Procedure	S	363779003	2002-01-31	2099-12-31	
4182334	Family history of Parkinson's disease	Observation	SNOMED	Context-dependent	S	297240003	2002-01-31	2099-12-31	
4183166	Orientation	Observation	SNOMED	Observable Entity	S	43173001	2002-01-31	2099-12-31	
4185711	Loss of sense of smell	Condition	SNOMED	Clinical Finding	S	44169009	2002-01-31	2099-12-31	
4190307	Inflammatory disease of the central nervous system	Condition	SNOMED	Disorder	S	39367000	2002-01-31	2099-12-31	
4195864	Attention	Observation	SNOMED	Observable Entity	S	6769007	2002-01-31	2099-12-31	
4197342	Protease digestion of tissue specimen	Procedure	SNOMED	Procedure	S	433456006	2008-07-31	2099-12-31	
4202677	Genetic investigation procedure	Procedure	SNOMED	Procedure	S	53973008	2002-01-31	2099-12-31	
4202911	Core sampling of tissue block	Procedure	SNOMED	Procedure	S	434479002	2008-07-31	2099-12-31	
4203251	Patient data status	Observation	SNOMED	Clinical Finding	S	308342008	2002-01-31	2099-12-31	
4204989	Disturbance in sleep behavior	Observation	SNOMED	Clinical Finding	S	53888004	2002-01-31	2099-12-31	
4205082	Ability to read	Observation	SNOMED	Observable Entity	S	309250007	2002-01-31	2099-12-31	
4207631	Executive cognitive functions	Observation	SNOMED	Observable Entity	S	311507007	2002-01-31	2099-12-31	
4208213	Excision biopsy of skin lesion	Procedure	SNOMED	Procedure	S	312968005	2002-01-31	2099-12-31	
4210301	Autopsy diagnosis	Observation	SNOMED	Qualifier Value	S	5605004	2002-01-31	2099-12-31	
4210464	Specimen preparation	Procedure	SNOMED	Procedure	S	56245008	2002-01-31	2099-12-31	
4210989	Family history with explicit context	Observation	SNOMED	Context-dependent	S	57177007	2002-01-31	2099-12-31	
4212327	Molecular sequence data	Condition	SNOMED	Clinical Finding	S	41482005	2002-01-31	2099-12-31	
4214926	Has support	Relationship	SNOMED	Linkage Assertion	S	417569004	2005-07-31	2099-12-31	
4215130	Neuropathology	Observation	SNOMED	Qualifier Value	S	394599008	2003-01-31	2099-12-31	
4215467	Dream	Observation	SNOMED	Observable Entity	S	7175000	2002-01-31	2099-12-31	
4215671	Is etiology for	Relationship	SNOMED	Linkage Assertion	S	416872009	2005-07-31	2099-12-31	
4217996	Link assertion	Relationship	SNOMED	Linkage Assertion	S	416698001	2005-07-31	2099-12-31	
4219090	Shave biopsy	Procedure	SNOMED	Procedure	S	72342005	2002-01-31	2099-12-31	
4219281	Is manifestation of	Relationship	SNOMED	Linkage Assertion	S	417318003	2005-07-31	2099-12-31	
4219702	Has problem name	Relationship	SNOMED	Linkage Assertion	S	416586004	2005-07-31	2099-12-31	
4220533	Autopsy, gross examination with brain	Procedure	SNOMED	Procedure	S	82823006	2002-01-31	2099-12-31	
4220753	Has explanation	Relationship	SNOMED	Linkage Assertion	S	417151001	2005-07-31	2099-12-31	
4227359	When	Observation	SNOMED	Qualifier Value	S	420974001	2006-07-31	2099-12-31	
4227695	Specimen aliquoting	Procedure	SNOMED	Procedure	S	4064007	2002-01-31	2099-12-31	
4227733	Punch biopsy of skin	Procedure	SNOMED	Procedure	S	87697008	2002-01-31	2099-12-31	
4227984	Awakening	Observation	SNOMED	Qualifier Value	S	421355008	2006-07-31	2099-12-31	
4229575	Sleep behavior	Observation	SNOMED	Observable Entity	S	404950004	2004-01-31	2099-12-31	
4229704	Ability to make coordinated movements	Observation	SNOMED	Observable Entity	S	404978003	2004-01-31	2099-12-31	
4229760	Structure of putamen	Spec Anatomic Site	SNOMED	Body Structure	S	89278009	2002-01-31	2099-12-31	
4231949	Cerebral degeneration due to Parkinson's disease	Condition	SNOMED	Disorder	S	438513002	2009-01-31	2099-12-31	
4233623	Molecular genetic test	Measurement	SNOMED	Procedure	S	405825005	2004-01-31	2099-12-31	
4234469	Diagnosis	Observation	SNOMED	Observable Entity	S	439401001	2009-01-31	2099-12-31	
4235152	Special autopsy procedure, explain by report	Procedure	SNOMED	Procedure	S	90864005	2002-01-31	2099-12-31	
4237017	Genetic test	Measurement	SNOMED	Procedure	S	405824009	2004-01-31	2099-12-31	
4238978	Chronic lobular hepatitis	Condition	SNOMED	Disorder	S	57339008	2002-01-31	2099-12-31	
4239427	Ability to think abstractly	Observation	SNOMED	Observable Entity	S	363878000	2002-01-31	2099-12-31	
4243140	Specimen processing	Procedure	SNOMED	Procedure	S	9265001	2002-01-31	2099-12-31	
4245997	Body mass index	Measurement	SNOMED	Observable Entity	S	60621009	2002-01-31	2099-12-31	
4246074	Home care of patient	Observation	SNOMED	Procedure	S	60689008	2002-01-31	2099-12-31	
4247506	Repetition of phrases	Condition	SNOMED	Clinical Finding	S	40628008	2002-01-31	2099-12-31	
4258414	Epilepsy assessment	Procedure	SNOMED	Procedure	S	439248002	2009-01-31	2099-12-31	
4259632	Organism	Observation	SNOMED	Organism	S	410607006	2004-07-31	2099-12-31	
4260367	Dried blood spot specimen	Specimen	SNOMED	Specimen	S	440500007	2009-01-31	2099-12-31	
4263778	Sleeptalking	Observation	SNOMED	Clinical Finding	S	36321004	2002-01-31	2099-12-31	
4263971	Molecular testing, diagnostic	Procedure	SNOMED	Procedure	S	396927009	2003-07-31	2099-12-31	
4264110	Immunophenotypic analysis result	Observation	SNOMED	Observable Entity	S	397003004	2003-07-31	2099-12-31	
4264983	Specimen observable	Observation	SNOMED	Observable Entity	S	364708003	2002-01-31	2099-12-31	
4265453	Age	Meas Value	SNOMED	Qualifier Value	S	397669002	2003-07-31	2099-12-31	
4266361	Aggressive behavior	Observation	SNOMED	Clinical Finding	S	61372001	2002-01-31	2099-12-31	
4266507	DNA analysis	Procedure	SNOMED	Procedure	S	62302004	2002-01-31	2099-12-31	
4267143	Language	Observation	SNOMED	Observable Entity	S	61909002	2002-01-31	2099-12-31	
4269026	Sample analysis	Procedure	SNOMED	Procedure	S	401096005	2003-07-31	2099-12-31	
4274025	Disease	Condition	SNOMED	Disorder	S	64572001	2002-01-31	2099-12-31	
4275889	Visual hallucinations	Condition	SNOMED	Clinical Finding	S	64269007	2002-01-31	2099-12-31	
4284699	Tissue removed at necropsy	Observation	SNOMED	Clinical Finding	S	67135005	2002-01-31	2099-12-31	
4287567	Punch biopsy	Procedure	SNOMED	Procedure	S	68660007	2002-01-31	2099-12-31	
4288616	Amyloid deposition	Observation	SNOMED	Morph Abnormality	S	68790008	2002-01-31	2099-12-31	
4290540	Collection of specimen for culture by laboratory	Procedure	SNOMED	Procedure	S	70347009	2002-01-31	2099-12-31	
4293159	Brain region	Spec Anatomic Site	SNOMED	Body Structure	S	384763002	2003-01-31	2099-12-31	
4296217	Generalized vitiligo	Condition	SNOMED	Disorder	S	403269008	2003-07-31	2099-12-31	
4297376	Lightheadedness	Observation	SNOMED	Clinical Finding	S	386705008	2003-01-31	2099-12-31	
4297704	Brodmann area	Spec Anatomic Site	SNOMED	Body Structure	S	384717008	2003-01-31	2099-12-31	
4300877	Left	Meas Value	SNOMED	Qualifier Value	S	7771000	2002-01-31	2099-12-31	
4300886	Exclude	Meas Value	SNOMED	Qualifier Value	S	77765009	2002-01-31	2099-12-31	
4303425	Laboratory data interpretation	Procedure	SNOMED	Procedure	S	386344002	2003-01-31	2099-12-31	
4303445	Research data collection	Observation	SNOMED	Procedure	S	386409003	2003-01-31	2099-12-31	
4304008	Memory impairment	Condition	SNOMED	Clinical Finding	S	386807006	2003-01-31	2099-12-31	
4304588	Unpleasant dream	Observation	SNOMED	Clinical Finding	S	419748005	2006-01-31	2099-12-31	
4307859	Age at diagnosis	Observation	SNOMED	Observable Entity	S	423493009	2007-01-31	2099-12-31	
4309357	Pure autonomic failure	Condition	SNOMED	Disorder	S	84438001	2002-01-31	2099-12-31	
4310109	Body tissue structure	Spec Anatomic Site	SNOMED	Body Structure	S	85756007	2002-01-31	2099-12-31	
4314734	Dementia associated with Parkinson's Disease	Condition	SNOMED	Disorder	S	425390006	2007-01-31	2099-12-31	
4327116	Single photon emission computed tomography for dopamine transport	Procedure	SNOMED	Procedure	S	429781007	2008-01-31	2099-12-31	
4327815	Feeling angry	Observation	SNOMED	Clinical Finding	S	75408008	2002-01-31	2099-12-31	
4332526	Radionuclide imaging of brain using ioflupane (123-I)	Procedure	SNOMED	Procedure	S	430282003	2008-07-31	2099-12-31	
4333894	Collection of forensic data	Observation	SNOMED	Procedure	S	432442004	2008-07-31	2099-12-31	
4334496	Procedure on tissue specimen	Procedure	SNOMED	Procedure	S	430820001	2008-07-31	2099-12-31	
4334627	Macroscopic tissue specimen	Specimen	SNOMED	Specimen	S	430861001	2008-07-31	2099-12-31	
